student_id,age,gender,primary_platform,daily_social_media_hours,screen_time_before_sleep_min,sleep_hours,physical_activity_hrs_week,social_interaction_level,stress_level,academic_performance,gender_code,primary_platform_code,daily_social_media_hours_z,sleep_hours_z,screen_time_before_sleep_min_z,physical_activity_hrs_week_z,social_interaction_level_z,stress_level_z,academic_performance_z,usage_group,high_low_usage,deri_z,deri_score,deri_quartile,deri_pca
S1000,13,Female,Snapchat,4.58,126.0,7.7,3.9,3.9,5.47,2.8,0,2,0.8045655820262475,0.0610971275379142,1.788507712421114,-0.1748702648982981,-1.177000134838587,0.3419686242830103,-0.98266297877364,High,High,0.8439920556364825,63.45072575717701,Q4,1.4465484480603454
S1001,17,Male,Snapchat,2.36,81.0,6.9,1.9,8.5,6.46,2.29,1,2,-0.7861977590638108,-0.8758556270371473,0.3441783400645284,-1.006430866752696,1.6944931668095171,0.953665869857378,-1.948161538704072,Low,Low,0.14461206934595494,49.971261843462194,Q3,0.25463215485882146
S1002,16,Male,TikTok,0.2,0.0,10.0,3.4,5.2,3.59,4.0,1,3,-2.333967496340624,2.754836296941216,-2.2556145301773256,-0.3827604153618976,-0.3654911582858617,-0.8196382663026575,1.28909833870973,Low,Low,-2.4481394411530553,0.0,Q1,-4.244090511927118
S1003,15,Male,Snapchat,0.79,51.0,8.0,8.3,8.3,0.83,4.0,1,2,-1.9111970588437168,0.4124544105035621,-0.6187079081731952,1.6545630591813774,1.5696456319552523,-2.5249760418433187,1.28909833870973,Low,Low,-0.9807864591734914,28.280951638583126,Q1,-1.697155000908056
S1004,15,Male,Snapchat,5.25,69.0,6.0,4.5,4.5,8.37,2.39,1,2,1.284660824607481,-1.929927475934092,-0.040976159230561,0.0745979156580212,-0.8024575302757908,2.1338090406119656,-1.7588480955804575,High,High,1.0578707137703374,67.57290498841317,Q4,1.848386515699533
S1005,18,Male,Snapchat,2.94,69.0,7.6,1.9,5.9,6.52,3.04,1,2,-0.3705929222024443,-0.0560219667839691,-0.040976159230561,-1.006430866752696,0.0714752137040672,0.9907384301952183,-0.5283107152769657,Medium,Low,-0.11851570488301207,44.89988232597329,Q2,-0.20451681079618686
S1006,13,Male,TikTok,2.55,84.0,7.6,5.3,6.9,2.97,3.88,1,3,-0.6500513469885356,-0.0560219667839691,0.4404669648883008,0.4072221563997802,0.6957128879753943,-1.2027213897936753,1.061922206961393,Low,Low,-0.05118747177208858,46.19752953690716,Q2,-0.09193157363171678
S1007,17,Female,Instagram,5.82,106.0,5.7,3.5,4.1,4.75,3.27,0,0,1.693100060833307,-2.28128475889974,1.1465835469292982,-0.3411823852691777,-1.0521525999843218,-0.102902099771075,-0.0928897960926532,High,High,1.7069894555541152,80.08366141139675,Q4,2.9657043216566157
S1008,14,Male,Instagram,5.05,96.0,7.6,12.6,5.8,4.57,3.96,1,0,1.141348811896665,-0.0560219667839691,0.8256214641833902,3.442418353168333,0.0090514462769342,-0.2141197807845962,1.2133729614602844,High,High,0.6743307476213415,60.180767331466875,Q4,1.1616749291507276
S1009,13,Female,TikTok,3.63,74.0,8.0,5.0,2.4,6.61,3.2,0,3,0.1238335216498711,0.4124544105035621,0.1195048821423929,0.2824880661216206,-2.113356646245577,1.0463472707019794,-0.2254092062791828,Medium,High,-0.05637200223709935,46.09760575772764,Q2,-0.10196217011425462
S1010,16,Male,TikTok,3.43,18.0,8.8,3.4,6.5,6.07,3.14,1,3,-0.0194784910609447,1.3494071650786246,-1.6778827812346913,-0.3827604153618976,0.4460178182668632,0.7126942276614153,-0.3389972721533514,Medium,Low,-1.0155894791247535,27.61017743755179,Q1,-1.7560338639296993
S1011,18,Male,Instagram,3.42,66.0,7.6,7.9,1.8,4.33,3.64,1,0,-0.0266440916964857,-0.0560219667839691,-0.1372647840543334,1.4882509388104976,-2.4878992508083737,-0.3624100221359582,0.6075699434647194,Medium,Low,-0.03596230298895001,46.49097103825902,Q2,-0.06069587748710039
S1012,17,Male,Snapchat,3.74,56.0,7.6,0.0,5.3,7.67,2.46,1,2,0.2026551286408201,-0.0560219667839691,-0.4582268668002413,-1.796413438514374,-0.3030673908587293,1.701295836670494,-1.626328685393928,Medium,High,-0.06651659045848402,45.90208456248308,Q2,-0.1109261379735659
S1013,17,Non-binary,TikTok,6.16,77.0,6.8,4.0,6.3,4.14,3.16,2,3,1.9367304824416944,-0.9929747213590304,0.2157935069661652,-0.1332922348055782,0.3211702834125977,-0.4798064632057866,-0.3011345835286285,High,High,1.0484995702556301,67.39229073963158,Q4,1.822493322786459
S1014,17,Female,YouTube,3.91,111.0,8.3,9.2,6.6,3.68,4.0,0,4,0.3244703394450137,0.7638116934692111,1.307064588302252,2.028765330015856,0.5084415856939958,-0.7640294257958965,1.28909833870973,Medium,High,0.2892410780926849,52.75876154676089,Q3,0.48395534960734615
S1015,17,Male,Instagram,4.54,96.0,5.4,3.8,3.4,6.74,2.68,1,0,0.7759031794840843,-2.632642041865388,0.8256214641833902,-0.2164482949910181,-1.4891189719742506,1.1266711514339671,-1.2098391105219766,High,High,1.4113888951776208,74.38641933330614,Q4,2.459134959524816
S1016,16,Male,YouTube,4.88,88.0,6.4,0.0,3.5,8.51,2.44,1,4,1.0195336010924714,-1.4614510986465608,0.568851797986664,-1.796413438514374,-1.426695204547118,2.2203116814002604,-1.664191374018651,High,High,1.0166121659085654,66.77771050481807,Q4,1.7680325653060691
S1017,13,Female,Instagram,1.56,28.0,8.6,3.7,5.2,5.2,3.28,0,0,-1.359445809907075,1.115168976434858,-1.3569206984887834,-0.2580263250837378,-0.3654911582858617,0.1751421027627285,-0.0739584517802921,Low,Low,-1.2771784949435723,22.56845510052,Q1,-2.21002143909723
S1018,18,Female,Instagram,4.66,93.0,6.5,7.7,5.7,6.77,3.3,0,0,0.861890387110574,-1.3443320043246785,0.7293328393596179,1.405094878625058,-0.0533723211501982,1.1452074316028868,-0.0360957631555693,High,High,0.9785184102649568,66.04351247999415,Q4,1.699753593675918
S1019,15,Female,Snapchat,2.85,85.0,7.6,5.4,2.7,3.69,3.91,0,2,-0.4350833279223113,-0.0560219667839691,0.4725631731628916,0.4488001864925003,-1.9260853439641796,-0.7578506657395899,1.1187162398984776,Low,Low,0.031167270674849794,47.78478939663617,Q3,0.05046510815408792
S1020,16,Male,Other,0.2,2.0,9.1,2.9,6.7,3.64,4.0,1,1,-2.333967496340624,1.7007644480442714,-2.191422113628144,-0.5906505658254971,0.5708653531211287,-0.7887444660211236,1.28909833870973,Low,Low,-2.0753846860043463,7.184269451778952,Q1,-3.590454953002162
S1021,15,Female,Instagram,0.38,25.0,8.5,3.2,7.2,3.53,3.93,0,0,-2.2049866849008897,0.9980498821129756,-1.4532093233125558,-0.4659164755473373,0.8829841902567923,-0.8567108266404979,1.1565789285232004,Low,Low,-1.5520819634421403,17.270117349913896,Q1,-2.684501246890398
S1022,14,Non-binary,Instagram,1.85,68.0,8.1,3.2,5.8,2.27,4.0,2,0,-1.1516433914763915,0.5295735048254444,-0.0730723675051518,-0.4659164755473373,0.0090514462769342,-1.6352345937351476,1.28909833870973,Low,Low,-0.5847630879356626,35.91368755643719,Q1,-1.0166342769826684
S1023,18,Female,Snapchat,4.24,31.0,8.2,5.1,6.4,2.54,4.0,0,2,0.5609351604178603,0.6466925991473267,-1.260632073665011,0.3240660962143404,0.3835940508397307,-1.4684080722148654,1.28909833870973,High,High,-0.44879650413149247,38.534232461618465,Q2,-0.7720398361401855
S1024,17,Male,Snapchat,3.58,69.0,7.6,7.6,6.1,5.74,3.43,1,2,0.0880055184721672,-0.0560219667839691,-0.040976159230561,1.3635168485323377,0.1963227485583322,0.5087951458032928,0.2100117129051297,Medium,High,0.0343504420085251,47.84614008433747,Q3,0.06029987496219009
S1025,16,Female,TikTok,4.1,67.0,7.3,6.8,4.7,5.14,3.3,0,3,0.4606167515202886,-0.407379249749617,-0.1051685757797426,1.030892607790579,-0.6776099954215253,0.1380695424248877,-0.0360957631555693,High,High,0.254275808496721,52.08486023561253,Q3,0.44463832421834854
S1026,15,Male,Instagram,6.09,102.0,6.5,4.9,1.9,5.99,3.21,1,0,1.8865712779929085,-1.3443320043246785,1.018198713830935,0.2409100360289009,-2.4254754833812413,0.6632641472109613,-0.2064778619668218,High,High,1.4163673320495072,74.48237097830135,Q4,2.45582811894638
S1027,17,Female,Instagram,1.74,32.0,8.4,1.3,6.5,3.77,3.33,0,0,-1.2304649984673406,0.8809307877910934,-1.22853586539042,-1.2558990473090157,0.4460178182668632,-0.7084205852891359,0.0206982697815153,Low,Low,-1.113310550549618,25.726755432773658,Q1,-1.9253512297143527
S1028,16,Male,Other,3.0,65.0,6.7,1.1,4.4,6.33,2.61,1,1,-0.3275993183891994,-1.1100938156809128,-0.1693609923289242,-1.339055107494455,-0.8648812977029233,0.8733419891253905,-1.342358520708507,Medium,Low,0.2043778349875964,51.12315422962405,Q3,0.3643621503992243
S1029,15,Male,Instagram,3.79,121.0,7.4,5.6,4.7,5.22,3.28,1,0,0.238483131818524,-0.2902601554277337,1.62802667104816,0.5319562466779398,-0.6776099954215253,0.1874996228753417,-0.0739584517802921,Medium,High,0.7189233194314726,61.040219952812976,Q4,1.2340486626451301
S1030,15,Male,Instagram,2.33,45.0,7.9,1.2,6.9,2.82,3.09,1,0,-0.8076945609704331,0.2953353161816798,-0.81128515782074,-1.2974770774017352,0.6957128879753943,-1.2954027906382768,-0.433653993715159,Low,Low,-0.6381050116576177,34.885604754537376,Q1,-1.1009554752378183
S1031,14,Male,Other,2.92,68.0,8.6,3.9,8.2,5.92,3.62,1,1,-0.3849241234735259,1.115168976434858,-0.0730723675051518,-0.1748702648982981,1.5072218645281188,0.6200128268168139,0.5697072548399965,Medium,Low,-0.5243884891378453,37.077314256876,Q2,-0.916731568398063
S1032,13,Female,Instagram,0.96,83.0,8.6,5.6,6.5,4.15,3.48,0,0,-1.7893818480395232,1.115168976434858,0.40837075661371,0.5319562466779398,0.4460178182668632,-0.4736277031494794,0.3046684344669365,Low,Low,-0.8320600226202237,31.147422904322745,Q1,-1.4537747634846112
S1033,16,Female,TikTok,5.81,88.0,7.4,1.0,5.9,6.15,2.69,0,3,1.685934460197766,-0.2902601554277337,0.568851797986664,-1.380633137587175,0.0714752137040672,0.7621243081118693,-1.1909077662096157,High,High,0.8483488045373879,63.53469533128843,Q4,1.4671689359633489
S1034,18,Female,TikTok,3.05,108.0,6.7,1.8,3.6,5.67,2.93,0,3,-0.2917713152114955,-1.1100938156809128,1.2107759634784798,-1.048008896845416,-1.364271437119985,0.4655438254091453,-0.7365555027129411,Medium,Low,0.6763661546492991,60.21999664331578,Q4,1.1703969484464098
S1035,13,Female,TikTok,6.44,110.0,6.2,3.5,5.8,7.72,2.47,0,3,2.137367300236837,-1.6956892872903264,1.2749683800276612,-0.3411823852691777,0.0090514462769342,1.7321896369520278,-1.607397341081566,High,High,1.7026749891849413,80.00050676746896,Q4,2.9524632394136243
S1036,18,Male,TikTok,3.95,120.0,6.3,5.5,5.5,4.6,3.12,1,3,0.353132741987177,-1.578570192968444,1.595930462773569,0.4903782165852201,-0.1782198560044637,-0.1955835006156764,-0.3768599607780742,Medium,High,1.1758777992430633,69.84730843342608,Q4,2.036231887167057
S1037,17,Male,Instagram,4.96,108.0,6.5,6.7,7.3,6.08,2.98,1,0,1.0768584061767978,-1.3443320043246785,1.2107759634784798,0.9893145776978588,0.9454079576839248,0.7188729877177219,-0.6418987811511343,High,High,1.2106554579933186,70.51759383666439,Q4,2.097844320173638
S1038,14,Male,YouTube,3.01,70.0,8.6,5.9,5.0,2.73,3.96,1,4,-0.3204337177536587,1.115168976434858,-0.0088799509559702,0.6566903369560998,-0.4903386931401273,-1.3510116311450373,1.2133729614602844,Medium,Low,-0.4814942150481623,37.90403482513758,Q2,-0.8429640012901605
S1039,16,Male,Snapchat,3.3,65.0,8.7,4.5,5.4,4.3,3.48,1,2,-0.1126312993229754,1.2322880707567403,-0.1693609923289242,0.0745979156580212,-0.2406436234315962,-0.3809463023048786,0.3046684344669365,Medium,Low,-0.5047601208028799,37.45562059655207,Q2,-0.8828557798222589
S1040,13,Male,TikTok,2.78,43.0,7.4,2.6,7.7,3.4,3.29,1,3,-0.4852425323710972,-0.2902601554277337,-0.8754775743699216,-0.7153846561036568,1.195103027392456,-0.9370347073724856,-0.0550271074679303,Low,Low,-0.35681998377109503,40.30693715922188,Q2,-0.6084462758194097
S1041,17,Male,Instagram,3.69,74.0,7.2,1.6,5.5,4.46,3.64,1,0,0.1668271254631159,-0.5244983440714993,0.1195048821423929,-1.1311649570308555,-0.1782198560044637,-0.2820861414039706,0.6075699434647194,Medium,High,0.27027678389233606,52.393254205496355,Q3,0.47140469484388225
